"","Specie","LONG","LONG.1","POID","POID.1","MUSC","MUSC.1","INTE","INTE.1","ESTO","ESTO.1","BRAN","BRAN.1","FOIE","FOIE.1","REIN","REIN.1","Foie.Muscle","Foie.Muscle.1","Reins.Muscle","Reins.Muscle.1","Branchies.Muscle","Branchies.Muscle.1","Intestins.Muscle","Intestins.Muscle.1","Estomac.Muscle","Estomac.Muscle.1"
"Ageneiosusbrevifili","Carnivores",22.5,35.5,170,625,1425,5043,333,2980.06,0,1761.1,393.71,853.1,642,7105.77,0,3969.05,0.45,1.41,0,2.02,0.15,0.3,0.23,0.63,0,0.55
"Cynodongibbus","Carnivores",19,32,77,359,2393,8737,0,2653,478.34,10860.7,354.22,1976.38,2684.83,43014,1437.82,27514.6,1.12,4.92,0.6,3.24,0.15,0.24,0,0.5,0.2,1.24
"Hopliasaïmara","Carnivores",25.5,63,340,5500,1269.65,5937,454.5,2181,443,1122,270,823.23,822,6271.15,1071,22015,0.65,2.45,0.84,4.97,0.14,0.22,0.11,0.49,0.09,0.4
"Potamotrygonhystrix","Omnivores",20.5,45,400,6250,664,936.46,0,921.44,0,464.63,0,0,1331.45,7014.86,1435.93,8053.03,1.93,7.49,2.16,8.6,0,0,0,1.25,0,0.5
"Leporinusfasciatus","Omnivores",18.8,25,125,273,1231,2013,0,0,181.02,243.06,0,145.19,463.18,1124.99,963.17,2845.22,0.38,0.56,0.73,1.41,0,0.07,0,0,0.12,0.17
"Leporinusfrederici","Omnivores",23,24.5,290,350,255,1085,45,261.2,43.48,625.2,20,41.3,242.45,617.07,113,896.26,0.44,0.96,0.39,0.83,0.04,0.08,0.18,0.24,0.13,0.58
"Dorasmicropoeus","Detritivores",19.2,31,128,505,813,1947,0,1430.82,0,1294.93,85.57,199.83,2157.69,10491.1,0,19600.9,2.24,8.36,0,14.68,0.09,0.17,0,1.48,0,0.79
"Platydorascostatus","Detritivores",13.7,25,60,413,317,923,206.62,649.67,0,288,38.16,186.22,1216,6218,709,7366,1.51,11.28,0.98,15.67,0.05,0.28,0.3,1.45,0,0.61
"Pseudoancistrusbarbatus","Detritivores",13,20.5,55,210,93,114,0,216.95,55.87,127.67,0,0,332,1727.65,0,42.34,3.53,17.11,0,0.37,0,0,0,2.31,0.49,1.36
"Semaprochilodusvari","Detritivores",22,28,330,700,293.52,556.61,143.19,933,0,694.98,55.12,98.65,5283.84,22362.9,935.49,2805.21,14.82,52.6,3.05,6.77,0.17,0.25,0.4,1.68,0,1.25
"Acnodonoligacanthus","Herbivores",10,16.2,34.9,154.7,26,115,0,95,26.09,178.34,2.8,147.71,101.26,807,153,566.69,1.33,18.34,1.71,21.8,0.06,3.36,0,2.16,0.23,5.97
"Myleusrubripinis","Herbivores",12.3,18,80,275,8,35,0,0,10.76,41.93,0,9.45,190.12,394.52,72.3,112.54,7.12,30.35,2.42,10.23,0,0.85,0,0,0.31,4.33
